KEY METRIC,VALUE,STATUS
COMPANY: ZEUSTRUSTAEGISSECURITY LTD (17391549),,Email: zeustrustaegissecurity@zeusaiintelligence.com
AEGIS AI Security - NHS ID Card programme readiness,,Generated 29 Aug 2026
,,
KEY METRIC,VALUE,STATUS
Compliance P0 items done,7,ICO/DTAC/CE/trademarks in progress
Trademark filings,"£1,840 budgeted",4 applications awaiting IPO numbers
RFIs sent (of 4 bureaus),4,Certus/G+D/Thales/Entrust - awaiting responses
Domains owned,2,both auto-renew (1 candidate expiring!)
Company forecast (Dec-26),"£4,990 net start",contract ramp scenario
P0 immediate budget,"£2,240",excl. insurance
Monthly OpEx baseline,£10.50,DigitalOcean + S3 + domains
,,
ACTION NOW,OWNER,DEADLINE
Renew/check zeusintelligence.com,Darren,2026-09-17
File 4 trademarks + send IPO numbers,Darren,ASAP
Create IONOS mailbox for company email,Darren,ASAP
Payroll actuals (salary/pension),Darren,ASAP
Send Thales/Entrust RFI confirmations,Darren,done
Solicitor review of IP clause,Solicitor,pre-contract
